Embedding Type,Round,Task,Hidden Layer Sizes,Epochs,Batch Size,Learning Rate,pair,Baseline,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,accuracy
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair09,Baseline,0.0769230769230769,0.1025641025641025,0.0854700854700854,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair09,Baseline,0.025,0.025,0.025,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair10,Baseline,0.0625,0.0833333333333333,0.0694444444444444,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair10,Baseline,0.1666666666666666,0.2222222222222222,0.1851851851851851,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair10,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair10,Baseline,0.375,0.5,0.4166666666666666,0.5,0.5,0.5,0.5
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair10,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair10,Baseline,0.25,0.5,0.3333333333333333,0.5,0.5,0.5,0.5
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair11,Baseline,0.013469387755102,0.0333333333333333,0.0178571428571428,0.0638297872340425,0.0638297872340425,0.0638297872340425,0.0638297872340425
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair11,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair11,Baseline,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.125,0.125,0.125,0.125
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair11,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair11,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair11,Baseline,0.0952380952380952,0.1071428571428571,0.0833333333333333,0.2,0.2,0.2,0.2
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair12,Baseline,0.0806451612903225,0.0591397849462365,0.0591397849462365,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair12,Baseline,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.25,0.25,0.25
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair12,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair12,Baseline,0.1666666666666666,0.0833333333333333,0.1111111111111111,0.2,0.2,0.2,0.2
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair12,Baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair13,Baseline,0.056908250229135,0.0594161958568738,0.0511236706597991,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.1206896551724138
